"TOA5","CR1000","CR1000","83924","CR1000.Std.31","CPU:loggernet-config.CR1","7773","OneHour"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WS_ms_WVc","SlrkW_Avg","AirTC_Avg","RH","Rain_mm_Tot","Visibility_m","BP_mbar"
"TS","RN","meters/second","Deg","Deg","kW/m^2","Deg C","%","mm","meters","mbar"
"","","WVc","WVc","WVc","Avg","Avg","Smp","Tot","Smp","Smp"
"2018-01-25 14:00:00",0,3.10111,161.6432,53.77158,0.1313739,5.701684,96.945,1.778,7928,1000.365
"2018-01-25 15:00:00",1,2.491457,164.2251,58.72025,0.05986418,6.583812,97.744,0,4491,994.4107
"2018-01-25 16:00:00",2,3.58875,229.5344,63.69004,0.02379075,6.207675,99.894,1.016,2645,995.1113
"2018-01-25 17:00:00",3,3.964166,206.1552,67.74071,0.007475029,5.620121,99.998,0,7018,994.2355
"2018-01-25 18:00:00",4,3.394582,191.2249,64.78976,0.0003565609,5.407596,99.998,0.254,3566,994.0605
"2018-01-25 19:00:00",5,3.560208,164.8986,60.80627,1.980928E-05,5.223646,99.998,0.254,2401,994.0605
"2018-01-25 20:00:00",6,4.660832,158.972,52.06844,8.489668E-06,5.162341,99.998,1.524,1774,994.0605
"2018-01-25 21:00:00",7,4.536041,200.5564,70.32873,1.414937E-06,4.927058,99.998,3.048,325,994.0605
"2018-01-25 22:00:00",8,4.062499,198.7321,70.78535,8.489807E-06,4.669671,99.998,1.016,8245,994.0605
"2018-01-25 23:00:00",9,4.153125,208.5743,67.97851,1.132048E-05,4.435254,96.77,0,14175,994.0605
"2018-01-26 00:00:00",10,5.311874,163.5542,62.45037,1.27363E-05,4.079475,92.43,0,19169,994.0605
"2018-01-26 01:00:00",11,5.355623,168.4167,56.14678,1.839803E-05,3.452312,86.367,0,25109,994.0605
"2018-01-26 02:00:00",12,5.164374,182.399,64.67139,4.104168E-05,2.9512,91.363,0,19288,994.0605
"2018-01-26 03:00:00",13,5.458332,155.0537,59.52254,5.236355E-05,2.533992,94.484,0,17817,994.0605
"2018-01-26 04:00:00",14,6.003333,160.702,54.25288,9.765146E-05,2.190779,95.176,0,16023,994.0605
"2018-01-26 05:00:00",15,6.149581,163.4458,56.82352,8.915974E-05,1.983004,93.726,0,17204,994.0605
"2018-01-26 06:00:00",16,5.721251,164.3011,56.02676,0.0001316164,1.941988,94.57,0,17210,994.0605
"2018-01-26 07:00:00",17,6.143332,161.0394,62.35938,0.01117476,2.012504,94.812,0,15956,995.6371
"2018-01-26 08:00:00",18,4.688124,174.1344,70.00758,0.07498904,2.418338,92.134,0,18007,997.389
"2018-01-26 09:00:00",19,5.421042,160.3119,62.94632,0.1014498,2.917025,90.781,0,16958,1000.542
"2018-01-26 10:00:00",20,6.65021,163.2211,59.06553,0.1648453,3.257383,94.8,0,11164,995.9875
"2018-01-26 11:00:00",21,7.069789,152.3059,51.08955,0.2451779,3.484216,90.492,0,17193,1002.819
"2018-01-26 12:00:00",22,5.914793,160.8328,60.86164,0.1755663,3.597279,91.848,0,13318,1002.381
"2018-01-26 13:00:00",23,6.192084,162.7607,54.8877,0.1466358,3.371558,91.625,0,20465,999.8415
"2018-01-26 14:00:00",24,6.109582,159.7033,55.57706,0.1075085,3.412171,93.684,0.508,13515,995.8123
"2018-01-26 15:00:00",25,6.443123,156.8543,49.67495,0.09987888,3.392287,92.4,0.254,21023,995.6371
"2018-01-26 16:00:00",26,6.073959,159.4982,55.21189,0.04760136,3.488821,94.25,0,12212,994.9363
"2018-01-26 17:00:00",27,4.472708,172.9234,59.71181,0.004395731,3.26525,95.938,0.254,10786,994.0605
"2018-01-26 18:00:00",28,4.033125,173.4726,64.49905,0.0002434203,3.057246,87.018,0.254,30254,994.0605
"2018-01-26 19:00:00",29,2.991251,218.2997,69.57774,7.92529E-05,2.708646,90.656,0,26918,994.0605
"2018-01-26 20:00:00",30,3.358959,179.2319,64.58071,0.0001018965,2.53475,97.922,0.254,11095,994.0605
"2018-01-26 21:00:00",31,4.141458,165.8181,57.93592,0.0001316162,2.2336,99.998,1.27,124,994.0605
"2018-01-26 22:00:00",32,4.824374,166.7144,70.28413,0.0001188795,2.197162,99.998,1.778,213,994.0605
"2018-01-26 23:00:00",33,5.120625,166.5733,55.74106,9.765099E-05,2.243529,99.998,3.048,756,994.0605
"2018-01-27 00:00:00",34,4.151042,176.2057,63.83124,7.076164E-05,2.419179,99.998,1.27,115,994.0605
"2018-01-27 01:00:00",35,4.279374,155.6508,58.46237,3.962648E-05,2.218766,99.998,0.508,97,994.0605
"2018-01-27 02:00:00",36,2.728126,166.4375,58.86949,5.660932E-05,2.115908,99.998,0.508,37,994.0605
"2018-01-27 03:00:00",37,2.741458,155.5587,62.73393,6.79314E-05,2.746954,99.998,0,30,994.0605
"2018-01-27 04:00:00",38,1.972292,225.7692,65.0249,7.783788E-05,2.983158,99.998,0.254,782,994.0605
"2018-01-27 05:00:00",39,2.182083,221.1505,67.43992,4.104188E-05,3.226771,99.998,0,95,994.0605
"2018-01-27 06:00:00",40,1.953542,235.859,63.91845,3.538089E-05,3.096983,99.998,0,9524,994.0605
"2018-01-27 07:00:00",41,1.677292,232.7902,56.54636,0.002659238,3.111058,99.998,0,329,994.4108
"2018-01-27 08:00:00",42,1.450417,234.5439,59.78023,0.0286119,3.277062,99.998,0,5722,997.2137
"2018-01-27 09:00:00",43,1.830833,224.3854,66.0965,0.09337868,3.710079,99.998,0,3508,1000.542
"2018-01-27 10:00:00",44,2.182917,224.8999,62.64857,0.1497114,4.132863,99.998,0,802,999.8395
"2018-01-27 11:00:00",45,1.985417,224.5479,67.88735,0.0845157,4.263858,99.998,0,2806,1003.517
"2018-01-27 12:00:00",46,1.925209,214.4244,58.12801,0.1380417,4.69275,99.998,0,3975,1007.545
"2018-01-27 13:00:00",47,1.681458,235.0688,55.16118,0.09127204,5.049333,99.998,0,1076,998.0883
"2018-01-27 14:00:00",48,1.545208,213.9479,61.61781,0.06646533,5.302133,99.998,0,3178,996.3372
"2018-01-27 15:00:00",49,1.981458,232.0988,60.7507,0.04999461,5.514525,99.998,0,2577,995.1113
"2018-01-27 16:00:00",50,1.997291,231.9803,64.20918,0.02142779,5.388025,99.998,0,73,995.1113
"2018-01-27 17:00:00",51,2.265416,217.9779,41.7595,0.009978248,5.095,99.998,0.254,8698,994.4107
"2018-01-27 18:00:00",52,1.475625,216.6931,27.36743,0.0008871863,4.615187,99.998,0,11390,994.0605
"2018-01-27 19:00:00",53,0.6949997,219.5185,37.47736,1.981335E-05,4.186896,99.998,0,7199,994.0605
"2018-01-27 20:00:00",54,1.165834,221.7657,51.62751,3.82115E-05,4.498113,99.998,0,5690,994.0605
"2018-01-27 21:00:00",55,1.366667,233.71,52.54122,2.547408E-05,4.715579,99.998,0,3531,994.0605
"2018-01-27 22:00:00",56,0.9493749,217.1382,59.339,1.273708E-05,4.550708,99.998,0,6555,994.0605
"2018-01-27 23:00:00",57,1.037708,222.7029,60.25153,2.264391E-05,4.595096,99.998,0,123,994.0605
"2018-01-28 00:00:00",58,1.163542,232.7174,55.52937,1.981285E-05,4.578283,99.998,0,3412,994.0605
"2018-01-28 01:00:00",59,1.237708,235.6698,48.01742,2.122812E-05,4.283104,99.998,0,6611,994.0605
"2018-01-28 02:00:00",60,1.401459,227.3809,38.25589,2.830479E-05,4.0132,99.998,0,5782,994.0605
"2018-01-28 03:00:00",61,0.6372913,248.4778,51.67613,2.688964E-05,4.070608,99.998,0,2393,994.0605
"2018-01-28 04:00:00",62,1.267917,229.1907,34.1273,1.839814E-05,4.109904,99.998,0,11008,994.0605
